Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,stint_id
Adama Traoré,es ESP,MF,Fulham,29,1996,15,1,274,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9a28eba4,3.0,0,5,1,20.0,1.64,0.33,0.0,0.0,0,0,9a28eba4,3.0,,,,,,,,,,,,,,,0,,,,,,9a28eba4,3.0,,,,,,,,,,,,,,,,,,,,,9a28eba4,3.0,,1,,,,,,,,,,,0,,,,9a28eba4,Adama Traoré__Fulham
Adama Traoré,es ESP,FWMF,West Ham,29,1996,9,0,121,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,9a28eba4,1.3,0,2,0,0.0,1.49,0.0,0.0,,0,0,9a28eba4,1.3,,,,,,,,,,,,,,,0,,,,,,9a28eba4,1.3,,,,,,,,,,,,,,,,,,,,,9a28eba4,1.3,,1,,,,,,,,,,,0,,,,9a28eba4,Adama Traoré__West Ham
Antoine Semenyo,gh GHA,MFFW,Manchester City,25,2000,17,17,1397,15.5,7,1,8,7,0,0,1,0,0.45,0.06,0.52,0.45,0.52,efd2ec23,15.5,7,34,14,41.2,2.19,0.9,0.21,0.5,0,0,efd2ec23,15.5,,,,,,,,,,,,,,,1,,,,,,efd2ec23,15.5,,,,,,,,,,,,,,,,,,,,,efd2ec23,15.5,,11,,,,,,,,,,,6,,,,efd2ec23,Antoine Semenyo__Manchester City
Antoine Semenyo,gh GHA,MF,Bournemouth,25,2000,20,20,1798,20.0,10,3,13,9,1,2,6,0,0.5,0.15,0.65,0.45,0.6,efd2ec23,20.0,10,49,27,55.1,2.45,1.35,0.2,0.37,1,2,efd2ec23,20.0,,,,,,,,,,,,,,,3,,,,,,efd2ec23,20.0,,,,,,,,,,,,,,,,,,,,,efd2ec23,20.0,,20,,,,,,,,,,,6,,,,efd2ec23,Antoine Semenyo__Bournemouth
Brennan Johnson,wls WAL,MFFW,Tottenham,24,2001,16,6,610,6.8,2,0,2,2,0,0,2,0,0.3,0.0,0.3,0.3,0.3,0cd31129,6.8,2,6,2,33.3,0.89,0.3,0.33,1.0,0,0,0cd31129,6.8,,,,,,,,,,,,,,,0,,,,,,0cd31129,6.8,,,,,,,,,,,,,,,,,,,,,0cd31129,6.8,,9,,,,,,,,,,,2,,,,0cd31129,Brennan Johnson__Tottenham
Brennan Johnson,wls WAL,MFFW,Crystal Palace,24,2001,18,13,1112,12.4,0,1,1,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,0cd31129,12.4,0,17,3,17.6,1.38,0.24,0.0,0.0,0,0,0cd31129,12.4,,,,,,,,,,,,,,,1,,,,,,0cd31129,12.4,,,,,,,,,,,,,,,,,,,,,0cd31129,12.4,,7,,,,,,,,,,,2,,,,0cd31129,Brennan Johnson__Crystal Palace
Douglas Luiz,br BRA,MF,Aston Villa,27,1998,13,7,604,6.7,1,0,1,1,0,0,1,0,0.15,0.0,0.15,0.15,0.15,6f7d826d,6.7,1,6,4,66.7,0.89,0.6,0.17,0.25,0,0,6f7d826d,6.7,,,,,,,,,,,,,,,0,,,,,,6f7d826d,6.7,,,,,,,,,,,,,,,,,,,,,6f7d826d,6.7,,11,,,,,,,,,,,7,,,,6f7d826d,Douglas Luiz__Aston Villa
Douglas Luiz,br BRA,MF,Nottingham,27,1998,8,5,315,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,6f7d826d,3.5,0,5,1,20.0,1.43,0.29,0.0,0.0,0,0,6f7d826d,3.5,,,,,,,,,,,,,,,0,,,,,,6f7d826d,3.5,,,,,,,,,,,,,,,,,,,,,6f7d826d,3.5,,3,,,,,,,,,,,7,,,,6f7d826d,Douglas Luiz__Nottingham
Eberechi Eze,eng ENG,MF,Crystal Palace,27,1998,1,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ae4fc6a4,0.9,0,6,2,33.3,6.51,2.17,0.0,0.0,0,0,ae4fc6a4,0.9,,,,,,,,,,,,,,,0,,,,,,ae4fc6a4,0.9,,,,,,,,,,,,,,,,,,,,,ae4fc6a4,0.9,,1,,,,,,,,,,,0,,,,ae4fc6a4,Eberechi Eze__Crystal Palace
Eberechi Eze,eng ENG,MFFW,Arsenal,27,1998,32,21,1812,20.1,7,2,9,7,0,0,1,0,0.35,0.1,0.45,0.35,0.45,ae4fc6a4,20.1,7,57,18,31.6,2.83,0.89,0.12,0.39,0,0,ae4fc6a4,20.1,,,,,,,,,,,,,,,2,,,,,,ae4fc6a4,20.1,,,,,,,,,,,,,,,,,,,,,ae4fc6a4,20.1,,13,,,,,,,,,,,11,,,,ae4fc6a4,Eberechi Eze__Arsenal
