Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,stint_id,reason
Jerome Abbey,eng ENG,MF,Wolves,15,2009,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4f504fcc,0.2,0,0,0,,0.0,0.0,,,0,0,4f504fcc,0.2,,,,,,,,,,,,,,,0,,,,,,4f504fcc,0.2,,,,,,,,,,,,,,,,,,,,,4f504fcc,0.2,,0,,,,,,,,,,,1,,,,4f504fcc,Jerome Abbey__Wolves,below_600_min_threshold
Zach Abbott,eng ENG,DF,Nottingham,19,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,c103921a,1.8,0,0,0,,0.0,0.0,,,0,0,c103921a,1.8,,,,,,,,,,,,,,,0,,,,,,c103921a,1.8,,,,,,,,,,,,,,,,,,,,,c103921a,1.8,,4,,,,,,,,,,,2,,,,c103921a,Zach Abbott__Nottingham,below_600_min_threshold
Tammy Abraham,eng ENG,FW,Aston Villa,27,1997,12,2,286,3.2,2,0,2,2,0,0,0,0,0.63,0.0,0.63,0.63,0.63,f586779e,3.2,2,9,3,33.3,2.83,0.94,0.22,0.67,0,0,f586779e,3.2,,,,,,,,,,,,,,,0,,,,,,f586779e,3.2,,,,,,,,,,,,,,,,,,,,,f586779e,3.2,,1,,,,,,,,,,,0,,,,f586779e,Tammy Abraham__Aston Villa,below_600_min_threshold
Nayef Aguerd,ma MAR,DF,West Ham,29,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,288e1e13,2.0,0,2,0,0.0,1.0,0.0,0.0,,0,0,288e1e13,2.0,,,,,,,,,,,,,,,0,,,,,,288e1e13,2.0,,,,,,,,,,,,,,,,,,,,,288e1e13,2.0,,0,,,,,,,,,,,1,,,,288e1e13,Nayef Aguerd__West Ham,below_600_min_threshold
Max Alleyne,eng ENG,DF,Manchester City,20,2005,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,defcfd32,1.5,0,2,1,50.0,1.33,0.67,0.0,0.0,0,0,defcfd32,1.5,,,,,,,,,,,,,,,0,,,,,,defcfd32,1.5,,,,,,,,,,,,,,,,,,,,,defcfd32,1.5,,3,,,,,,,,,,,3,,,,defcfd32,Max Alleyne__Manchester City,below_600_min_threshold
Alysson,br BRA,MF,Aston Villa,19,2006,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,99b63a82,0.5,0,1,0,0.0,1.84,0.0,0.0,,0,0,99b63a82,0.5,,,,,,,,,,,,,,,0,,,,,,99b63a82,0.5,,,,,,,,,,,,,,,,,,,,,99b63a82,0.5,,0,,,,,,,,,,,1,,,,99b63a82,Alysson__Aston Villa,below_600_min_threshold
Jaydon Amauri Banel,nl NED,FWMF,Burnley,20,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,98e0d76c,0.1,0,0,0,,0.0,0.0,,,0,0,98e0d76c,0.1,,,,,,,,,,,,,,,0,,,,,,98e0d76c,0.1,,,,,,,,,,,,,,,,,,,,,98e0d76c,0.1,,0,,,,,,,,,,,0,,,,98e0d76c,Jaydon Amauri Banel__Burnley,below_600_min_threshold
Zeki Amdouni,ch SUI,FWMF,Burnley,24,2000,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2ee5b0c9,0.8,0,3,1,33.3,3.7,1.23,0.0,0.0,0,0,2ee5b0c9,0.8,,,,,,,,,,,,,,,0,,,,,,2ee5b0c9,0.8,,,,,,,,,,,,,,,,,,,,,2ee5b0c9,0.8,,0,,,,,,,,,,,0,,,,2ee5b0c9,Zeki Amdouni__Burnley,below_600_min_threshold
Nilson Angulo,ec ECU,MF,Sunderland,22,2003,8,5,404,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,a9b9d89c,4.5,0,7,3,42.9,1.56,0.67,0.0,0.0,0,0,a9b9d89c,4.5,,,,,,,,,,,,,,,0,,,,,,a9b9d89c,4.5,,,,,,,,,,,,,,,,,,,,,a9b9d89c,4.5,,7,,,,,,,,,,,5,,,,a9b9d89c,Nilson Angulo__Sunderland,below_600_min_threshold
Harrison Armstrong,eng ENG,MF,Everton,18,2007,13,6,529,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,de59e609,5.9,0,5,2,40.0,0.85,0.34,0.0,0.0,0,0,de59e609,5.9,,,,,,,,,,,,,,,0,,,,,,de59e609,5.9,,,,,,,,,,,,,,,,,,,,,de59e609,5.9,,10,,,,,,,,,,,4,,,,de59e609,Harrison Armstrong__Everton,below_600_min_threshold
