Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,stint_id,Gls/90,Ast/90,TklW/90,Int/90,TklWInt/90
Alisson,br BRA,GK,Liverpool,32,1992,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,7a2e46a8,26.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,7a2e46a8,26.0,,,,,,,,,,,,,,,0,,,,,,7a2e46a8,26.0,,,,,,,,,,,,,,,,,,,,,7a2e46a8,26.0,,0,,,,,,,,,,,0,,,,7a2e46a8,Alisson__Liverpool,0.0,0.0,0.0,0.0,0.0
Alphonse Areola,fr FRA,GK,West Ham,32,1993,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.0,0.05,0.05,0.0,0.05,2f965a72,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2f965a72,20.0,,,,,,,,,,,,,,,1,,,,,,2f965a72,20.0,,,,,,,,,,,,,,,,,,,,,2f965a72,20.0,,0,,,,,,,,,,,1,,,,2f965a72,Alphonse Areola__West Ham,0.0,0.05,0.0,0.05,0.05
Karl Darlow,wls WAL,GK,Leeds United,34,1990,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,cde3309f,22.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,cde3309f,22.0,,,,,,,,,,,,,,,0,,,,,,cde3309f,22.0,,,,,,,,,,,,,,,,,,,,,cde3309f,22.0,,0,,,,,,,,,,,0,,,,cde3309f,Karl Darlow__Leeds United,0.0,0.0,0.0,0.0,0.0
Gianluigi Donnarumma,it ITA,GK,Manchester City,26,1999,34,34,3060,34.0,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,08f5afaa,34.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,08f5afaa,34.0,,,,,,,,,,,,,,,0,,,,,,08f5afaa,34.0,,,,,,,,,,,,,,,,,,,,,08f5afaa,34.0,,0,,,,,,,,,,,1,,,,08f5afaa,Gianluigi Donnarumma__Manchester City,0.0,0.0,0.0,0.029411764705882353,0.029411764705882353
Martin Dúbravka,sk SVK,GK,Burnley,36,1989,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3a949a25,35.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3a949a25,35.0,,,,,,,,,,,,,,,0,,,,,,3a949a25,35.0,,,,,,,,,,,,,,,,,,,,,3a949a25,35.0,,1,,,,,,,,,,,0,,,,3a949a25,Martin Dúbravka__Burnley,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857
Dean Henderson,eng ENG,GK,Crystal Palace,28,1997,37,37,3330,37.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,e5a76dfe,37.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,e5a76dfe,37.0,,,,,,,,,,,,,,,0,,,,,,e5a76dfe,37.0,,,,,,,,,,,,,,,,,,,,,e5a76dfe,37.0,,0,,,,,,,,,,,1,,,,e5a76dfe,Dean Henderson__Crystal Palace,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703
Mads Hermansen,dk DEN,GK,West Ham,25,2000,18,18,1620,18.0,0,1,1,0,0,0,0,0,0.0,0.06,0.06,0.0,0.06,c924b17d,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,c924b17d,18.0,,,,,,,,,,,,,,,1,,,,,,c924b17d,18.0,,,,,,,,,,,,,,,,,,,,,c924b17d,18.0,,0,,,,,,,,,,,0,,,,c924b17d,Mads Hermansen__West Ham,0.0,0.05555555555555555,0.0,0.0,0.0
Sam Johnstone,eng ENG,GK,Wolves,32,1993,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9e5708be,12.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,9e5708be,12.0,,,,,,,,,,,,,,,0,,,,,,9e5708be,12.0,,,,,,,,,,,,,,,,,,,,,9e5708be,12.0,,1,,,,,,,,,,,0,,,,9e5708be,Sam Johnstone__Wolves,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333
Caoimhín Kelleher,ie IRL,GK,Brentford,26,1998,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,62d7ef38,37.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,62d7ef38,37.0,,,,,,,,,,,,,,,0,,,,,,62d7ef38,37.0,,,,,,,,,,,,,,,,,,,,,62d7ef38,37.0,,0,,,,,,,,,,,1,,,,62d7ef38,Caoimhín Kelleher__Brentford,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703
Antonín Kinský,cz CZE,GK,Tottenham,22,2003,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,b38ac6a4,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,b38ac6a4,7.0,,,,,,,,,,,,,,,0,,,,,,b38ac6a4,7.0,,,,,,,,,,,,,,,,,,,,,b38ac6a4,7.0,,0,,,,,,,,,,,0,,,,b38ac6a4,Antonín Kinský__Tottenham,0.0,0.0,0.0,0.0,0.0
Senne Lammens,be BEL,GK,Manchester Utd,23,2002,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8e6d2fcd,32.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,8e6d2fcd,32.0,,,,,,,,,,,,,,,0,,,,,,8e6d2fcd,32.0,,,,,,,,,,,,,,,,,,,,,8e6d2fcd,32.0,,1,,,,,,,,,,,0,,,,8e6d2fcd,Senne Lammens__Manchester Utd,0.0,0.0,0.03125,0.0,0.03125
Bernd Leno,de GER,GK,Fulham,33,1992,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,2628fd2b,38.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2628fd2b,38.0,,,,,,,,,,,,,,,0,,,,,,2628fd2b,38.0,,,,,,,,,,,,,,,,,,,,,2628fd2b,38.0,,1,,,,,,,,,,,1,,,,2628fd2b,Bernd Leno__Fulham,0.0,0.0,0.02631578947368421,0.02631578947368421,0.05263157894736842
Giorgi Mamardashvili,ge GEO,GK,Liverpool,24,2000,10,10,867,9.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d4b73232,9.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,d4b73232,9.6,,,,,,,,,,,,,,,0,,,,,,d4b73232,9.6,,,,,,,,,,,,,,,,,,,,,d4b73232,9.6,,1,,,,,,,,,,,1,,,,d4b73232,Giorgi Mamardashvili__Liverpool,0.0,0.0,0.10416666666666667,0.10416666666666667,0.20833333333333334
Emiliano Martínez,ar ARG,GK,Aston Villa,32,1992,32,32,2835,31.5,0,1,1,0,0,0,2,0,0.0,0.03,0.03,0.0,0.03,7956236f,31.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,7956236f,31.5,,,,,,,,,,,,,,,1,,,,,,7956236f,31.5,,,,,,,,,,,,,,,,,,,,,7956236f,31.5,,0,,,,,,,,,,,0,,,,7956236f,Emiliano Martínez__Aston Villa,0.0,0.031746031746031744,0.0,0.0,0.0
Lucas Perri,br BRA,GK,Leeds United,27,1997,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,5dbd461a,16.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,5dbd461a,16.0,,,,,,,,,,,,,,,0,,,,,,5dbd461a,16.0,,,,,,,,,,,,,,,,,,,,,5dbd461a,16.0,,0,,,,,,,,,,,0,,,,5dbd461a,Lucas Perri__Leeds United,0.0,0.0,0.0,0.0,0.0
Đorđe Petrović,rs SRB,GK,Bournemouth,25,1999,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0cf321c8,38.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0cf321c8,38.0,,,,,,,,,,,,,,,0,,,,,,0cf321c8,38.0,,,,,,,,,,,,,,,,,,,,,0cf321c8,38.0,,0,,,,,,,,,,,0,,,,0cf321c8,Đorđe Petrović__Bournemouth,0.0,0.0,0.0,0.0,0.0
Jordan Pickford,eng ENG,GK,Everton,31,1994,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,4806ec67,38.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4806ec67,38.0,,,,,,,,,,,,,,,0,,,,,,4806ec67,38.0,,,,,,,,,,,,,,,,,,,,,4806ec67,38.0,,1,,,,,,,,,,,0,,,,4806ec67,Jordan Pickford__Everton,0.0,0.0,0.02631578947368421,0.0,0.02631578947368421
Nick Pope,eng ENG,GK,Newcastle,33,1992,27,27,2416,26.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,4b40d9ca,26.8,0,1,1,100.0,0.03731343283582089,0.04,0.0,0.0,0,0,4b40d9ca,26.8,,,,,,,,,,,,,,,0,,,,,,4b40d9ca,26.8,,,,,,,,,,,,,,,,,,,,,4b40d9ca,26.8,,1,,,,,,,,,,,0,,,,4b40d9ca,Nick Pope__Newcastle,0.0,0.0,0.03731343283582089,0.0,0.03731343283582089
Aaron Ramsdale,eng ENG,GK,Newcastle,27,1998,12,11,1004,11.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,466fb2c5,11.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,466fb2c5,11.2,,,,,,,,,,,,,,,0,,,,,,466fb2c5,11.2,,,,,,,,,,,,,,,,,,,,,466fb2c5,11.2,,0,,,,,,,,,,,0,,,,466fb2c5,Aaron Ramsdale__Newcastle,0.0,0.0,0.0,0.0,0.0
