Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,stint_id
Brenden Aaronson,us USA,MFFW,Leeds United,24,2000,37,30,2449,27.2,4,5,9,4,0,0,3,0,0.15,0.18,0.33,0.15,0.33,5bc43860,27.2,4,47,17,36.2,1.73,0.62,0.09,0.24,0,0,5bc43860,27.2,,,,,,,,,,,,,,,5,,,,,,5bc43860,27.2,,,,,,,,,,,,,,,,,,,,,5bc43860,27.2,,27,,,,,,,,,,,17,,,,5bc43860,Brenden Aaronson__Leeds United
Jerome Abbey,eng ENG,MF,Wolves,15,2009,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4f504fcc,0.2,0,0,0,,0.0,0.0,,,0,0,4f504fcc,0.2,,,,,,,,,,,,,,,0,,,,,,4f504fcc,0.2,,,,,,,,,,,,,,,,,,,,,4f504fcc,0.2,,0,,,,,,,,,,,1,,,,4f504fcc,Jerome Abbey__Wolves
Zach Abbott,eng ENG,DF,Nottingham,19,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,c103921a,1.8,0,0,0,,0.0,0.0,,,0,0,c103921a,1.8,,,,,,,,,,,,,,,0,,,,,,c103921a,1.8,,,,,,,,,,,,,,,,,,,,,c103921a,1.8,,4,,,,,,,,,,,2,,,,c103921a,Zach Abbott__Nottingham
Tammy Abraham,eng ENG,FW,Aston Villa,27,1997,12,2,286,3.2,2,0,2,2,0,0,0,0,0.63,0.0,0.63,0.63,0.63,f586779e,3.2,2,9,3,33.3,2.83,0.94,0.22,0.67,0,0,f586779e,3.2,,,,,,,,,,,,,,,0,,,,,,f586779e,3.2,,,,,,,,,,,,,,,,,,,,,f586779e,3.2,,1,,,,,,,,,,,0,,,,f586779e,Tammy Abraham__Aston Villa
Joshua Acheampong,eng ENG,DF,Chelsea,19,2006,17,8,666,7.4,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,b7e62e1d,7.4,1,4,2,50.0,0.54,0.27,0.25,0.5,0,0,b7e62e1d,7.4,,,,,,,,,,,,,,,0,,,,,,b7e62e1d,7.4,,,,,,,,,,,,,,,,,,,,,b7e62e1d,7.4,,8,,,,,,,,,,,12,,,,b7e62e1d,Joshua Acheampong__Chelsea
Tyler Adams,us USA,MF,Bournemouth,26,1999,25,21,1772,19.7,2,2,4,2,0,0,8,0,0.1,0.1,0.2,0.1,0.2,2b09d998,19.7,2,10,6,60.0,0.51,0.3,0.2,0.33,0,0,2b09d998,19.7,,,,,,,,,,,,,,,2,,,,,,2b09d998,19.7,,,,,,,,,,,,,,,,,,,,,2b09d998,19.7,,24,,,,,,,,,,,30,,,,2b09d998,Tyler Adams__Bournemouth
Tosin Adarabioyo,eng ENG,DF,Chelsea,27,1997,16,8,795,8.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,c81d773d,8.8,0,2,0,0.0,0.23,0.0,0.0,,0,0,c81d773d,8.8,,,,,,,,,,,,,,,0,,,,,,c81d773d,8.8,,,,,,,,,,,,,,,,,,,,,c81d773d,8.8,,6,,,,,,,,,,,9,,,,c81d773d,Tosin Adarabioyo__Chelsea
Simon Adingra,ci CIV,MFFW,Sunderland,23,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,0.0,0.14,0.14,0.14,4dcec659,7.3,1,6,2,33.3,0.83,0.28,0.17,0.5,0,0,4dcec659,7.3,,,,,,,,,,,,,,,0,,,,,,4dcec659,7.3,,,,,,,,,,,,,,,,,,,,,4dcec659,7.3,,8,,,,,,,,,,,2,,,,4dcec659,Simon Adingra__Sunderland
Amine Adli,ma MAR,MF,Bournemouth,25,2000,31,10,1094,12.2,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,dcfb17f4,12.2,3,20,9,45.0,1.65,0.74,0.15,0.33,0,0,dcfb17f4,12.2,,,,,,,,,,,,,,,1,,,,,,dcfb17f4,12.2,,,,,,,,,,,,,,,,,,,,,dcfb17f4,12.2,,17,,,,,,,,,,,6,,,,dcfb17f4,Amine Adli__Bournemouth
Emmanuel Agbadou,ci CIV,DF,Wolves,28,1997,14,12,1101,12.2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,75f1ed80,12.2,0,10,3,30.0,0.82,0.25,0.0,0.0,0,0,75f1ed80,12.2,,,,,,,,,,,,,,,0,,,,,,75f1ed80,12.2,,,,,,,,,,,,,,,,,,,,,75f1ed80,12.2,,21,,,,,,,,,,,14,,,,75f1ed80,Emmanuel Agbadou__Wolves
Nayef Aguerd,ma MAR,DF,West Ham,29,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,288e1e13,2.0,0,2,0,0.0,1.0,0.0,0.0,,0,0,288e1e13,2.0,,,,,,,,,,,,,,,0,,,,,,288e1e13,2.0,,,,,,,,,,,,,,,,,,,,,288e1e13,2.0,,0,,,,,,,,,,,1,,,,288e1e13,Nayef Aguerd__West Ham
Ola Aina,ng NGA,DF,Nottingham,28,1996,18,18,1588,17.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,246d153b,17.6,0,12,1,8.3,0.68,0.06,0.0,0.0,0,0,246d153b,17.6,,,,,,,,,,,,,,,0,,,,,,246d153b,17.6,,,,,,,,,,,,,,,,,,,,,246d153b,17.6,,21,,,,,,,,,,,26,,,,246d153b,Ola Aina__Nottingham
Rayan Aït-Nouri,dz ALG,DF,Manchester City,24,2001,17,12,974,10.8,0,2,2,0,0,0,2,0,0.0,0.18,0.18,0.0,0.18,9b398aea,10.8,0,10,2,20.0,0.92,0.18,0.0,0.0,0,0,9b398aea,10.8,,,,,,,,,,,,,,,2,,,,,,9b398aea,10.8,,,,,,,,,,,,,,,,,,,,,9b398aea,10.8,,21,,,,,,,,,,,13,,,,9b398aea,Rayan Aït-Nouri__Manchester City
Kristoffer Ajer,no NOR,DF,Brentford,27,1998,27,20,1810,20.1,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05,a8c0acb7,20.1,0,10,3,30.0,0.5,0.15,0.0,0.0,0,0,a8c0acb7,20.1,,,,,,,,,,,,,,,1,,,,,,a8c0acb7,20.1,,,,,,,,,,,,,,,,,,,,,a8c0acb7,20.1,,23,,,,,,,,,,,15,,,,a8c0acb7,Kristoffer Ajer__Brentford
Nathan Aké,nl NED,DF,Manchester City,30,1995,18,6,695,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,eaeca114,7.7,0,7,1,14.3,0.91,0.13,0.0,0.0,0,0,eaeca114,7.7,,,,,,,,,,,,,,,0,,,,,,eaeca114,7.7,,,,,,,,,,,,,,,,,,,,,eaeca114,7.7,,6,,,,,,,,,,,5,,,,eaeca114,Nathan Aké__Manchester City
Carlos Alcaraz,ar ARG,MF,Everton,22,2002,20,6,689,7.7,0,1,1,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,4abac767,7.7,0,20,5,25.0,2.61,0.65,0.0,0.0,0,0,4abac767,7.7,,,,,,,,,,,,,,,1,,,,,,4abac767,7.7,,,,,,,,,,,,,,,,,,,,,4abac767,7.7,,9,,,,,,,,,,,2,,,,4abac767,Carlos Alcaraz__Everton
Omar Alderete,py PAR,DF,Sunderland,28,1996,33,32,2798,31.1,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,bb08bce9,31.1,1,24,9,37.5,0.77,0.29,0.04,0.11,0,0,bb08bce9,31.1,,,,,,,,,,,,,,,1,,,,,,bb08bce9,31.1,,,,,,,,,,,,,,,,,,,,,bb08bce9,31.1,,18,,,,,,,,,,,36,,,,bb08bce9,Omar Alderete__Sunderland
Alisson,br BRA,GK,Liverpool,32,1992,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,7a2e46a8,26.0,0,0,0,,0.0,0.0,,,0,0,7a2e46a8,26.0,,,,,,,,,,,,,,,0,,,,,,7a2e46a8,26.0,,,,,,,,,,,,,,,,,,,,,7a2e46a8,26.0,,0,,,,,,,,,,,0,,,,7a2e46a8,Alisson__Liverpool
Max Alleyne,eng ENG,DF,Manchester City,20,2005,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,defcfd32,1.5,0,2,1,50.0,1.33,0.67,0.0,0.0,0,0,defcfd32,1.5,,,,,,,,,,,,,,,0,,,,,,defcfd32,1.5,,,,,,,,,,,,,,,,,,,,,defcfd32,1.5,,3,,,,,,,,,,,3,,,,defcfd32,Max Alleyne__Manchester City
Alysson,br BRA,MF,Aston Villa,19,2006,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,99b63a82,0.5,0,1,0,0.0,1.84,0.0,0.0,,0,0,99b63a82,0.5,,,,,,,,,,,,,,,0,,,,,,99b63a82,0.5,,,,,,,,,,,,,,,,,,,,,99b63a82,0.5,,0,,,,,,,,,,,1,,,,99b63a82,Alysson__Aston Villa
Jaydon Amauri Banel,nl NED,FWMF,Burnley,20,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,98e0d76c,0.1,0,0,0,,0.0,0.0,,,0,0,98e0d76c,0.1,,,,,,,,,,,,,,,0,,,,,,98e0d76c,0.1,,,,,,,,,,,,,,,,,,,,,98e0d76c,0.1,,0,,,,,,,,,,,0,,,,98e0d76c,Jaydon Amauri Banel__Burnley
Zeki Amdouni,ch SUI,FWMF,Burnley,24,2000,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2ee5b0c9,0.8,0,3,1,33.3,3.7,1.23,0.0,0.0,0,0,2ee5b0c9,0.8,,,,,,,,,,,,,,,0,,,,,,2ee5b0c9,0.8,,,,,,,,,,,,,,,,,,,,,2ee5b0c9,0.8,,0,,,,,,,,,,,0,,,,2ee5b0c9,Zeki Amdouni__Burnley
Ethan Ampadu,wls WAL,MF,Leeds United,24,2000,35,35,3119,34.7,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,10b9fa99,34.7,1,26,6,23.1,0.75,0.17,0.04,0.17,0,0,10b9fa99,34.7,,,,,,,,,,,,,,,1,,,,,,10b9fa99,34.7,,,,,,,,,,,,,,,,,,,,,10b9fa99,34.7,,46,,,,,,,,,,,50,,,,10b9fa99,Ethan Ampadu__Leeds United
Joachim Andersen,dk DEN,DF,Fulham,29,1996,33,33,2875,31.9,0,1,1,0,0,0,7,1,0.0,0.03,0.03,0.0,0.03,e34fc66d,31.9,0,16,4,25.0,0.5,0.13,0.0,0.0,0,0,e34fc66d,31.9,,,,,,,,,,,,,,,1,,,,,,e34fc66d,31.9,,,,,,,,,,,,,,,,,,,,,e34fc66d,31.9,,26,,,,,,,,,,,34,,,,e34fc66d,Joachim Andersen__Fulham
Elliot Anderson,eng ENG,MF,Nottingham,22,2002,38,37,3331,37.0,4,4,8,3,1,1,8,0,0.11,0.11,0.22,0.08,0.19,de31038e,37.0,4,44,10,22.7,1.19,0.27,0.09,0.4,1,1,de31038e,37.0,,,,,,,,,,,,,,,4,,,,,,de31038e,37.0,,,,,,,,,,,,,,,,,,,,,de31038e,37.0,,60,,,,,,,,,,,41,,,,de31038e,Elliot Anderson__Nottingham
André,br BRA,MF,Wolves,24,2001,35,30,2762,30.7,1,0,1,1,0,0,12,0,0.03,0.0,0.03,0.03,0.03,ec604e2c,30.7,1,15,1,6.7,0.49,0.03,0.07,1.0,0,0,ec604e2c,30.7,,,,,,,,,,,,,,,0,,,,,,ec604e2c,30.7,,,,,,,,,,,,,,,,,,,,,ec604e2c,30.7,,42,,,,,,,,,,,25,,,,ec604e2c,André__Wolves
Nilson Angulo,ec ECU,MF,Sunderland,22,2003,8,5,404,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,a9b9d89c,4.5,0,7,3,42.9,1.56,0.67,0.0,0.0,0,0,a9b9d89c,4.5,,,,,,,,,,,,,,,0,,,,,,a9b9d89c,4.5,,,,,,,,,,,,,,,,,,,,,a9b9d89c,4.5,,7,,,,,,,,,,,5,,,,a9b9d89c,Nilson Angulo__Sunderland
Jaidon Anthony,eng ENG,MF,Burnley,25,1999,37,32,2722,30.2,8,2,10,8,0,0,4,0,0.26,0.07,0.33,0.26,0.33,e4238fb1,30.2,8,55,23,41.8,1.82,0.76,0.15,0.35,0,0,e4238fb1,30.2,,,,,,,,,,,,,,,2,,,,,,e4238fb1,30.2,,,,,,,,,,,,,,,,,,,,,e4238fb1,30.2,,21,,,,,,,,,,,16,,,,e4238fb1,Jaidon Anthony__Burnley
Alphonse Areola,fr FRA,GK,West Ham,32,1993,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.0,0.05,0.05,0.0,0.05,2f965a72,20.0,0,0,0,,0.0,0.0,,,0,0,2f965a72,20.0,,,,,,,,,,,,,,,1,,,,,,2f965a72,20.0,,,,,,,,,,,,,,,,,,,,,2f965a72,20.0,,0,,,,,,,,,,,1,,,,2f965a72,Alphonse Areola__West Ham
Jhon Arias,co COL,FWMF,Wolves,27,1997,23,14,1124,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,86d96066,12.5,1,16,3,18.8,1.28,0.24,0.06,0.33,0,0,86d96066,12.5,,,,,,,,,,,,,,,0,,,,,,86d96066,12.5,,,,,,,,,,,,,,,,,,,,,86d96066,12.5,,27,,,,,,,,,,,7,,,,86d96066,Jhon Arias__Wolves
Adam Armstrong,eng ENG,FWMF,Wolves,28,1997,14,14,1140,12.7,2,2,4,1,1,1,3,0,0.16,0.16,0.32,0.08,0.24,68c720b5,12.7,2,18,6,33.3,1.42,0.47,0.11,0.33,1,1,68c720b5,12.7,,,,,,,,,,,,,,,2,,,,,,68c720b5,12.7,,,,,,,,,,,,,,,,,,,,,68c720b5,12.7,,4,,,,,,,,,,,1,,,,68c720b5,Adam Armstrong__Wolves
Harrison Armstrong,eng ENG,MF,Everton,18,2007,13,6,529,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,de59e609,5.9,0,5,2,40.0,0.85,0.34,0.0,0.0,0,0,de59e609,5.9,,,,,,,,,,,,,,,0,,,,,,de59e609,5.9,,,,,,,,,,,,,,,,,,,,,de59e609,5.9,,10,,,,,,,,,,,4,,,,de59e609,Harrison Armstrong__Everton
Tolu Arokodare,ng NGA,FW,Wolves,24,2000,33,13,1419,15.8,3,1,4,3,0,1,1,0,0.19,0.06,0.25,0.19,0.25,a42760bc,15.8,3,46,16,34.8,2.92,1.01,0.07,0.19,0,1,a42760bc,15.8,,,,,,,,,,,,,,,1,,,,,,a42760bc,15.8,,,,,,,,,,,,,,,,,,,,,a42760bc,15.8,,4,,,,,,,,,,,5,,,,a42760bc,Tolu Arokodare__Wolves
Kepa Arrizabalaga,es ESP,GK,Arsenal,30,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,28d596a0,1.0,0,0,0,,0.0,0.0,,,0,0,28d596a0,1.0,,,,,,,,,,,,,,,0,,,,,,28d596a0,1.0,,,,,,,,,,,,,,,,,,,,,28d596a0,1.0,,0,,,,,,,,,,,0,,,,28d596a0,Kepa Arrizabalaga__Arsenal
Taiwo Awoniyi,ng NGA,FW,Nottingham,27,1997,17,3,494,5.5,4,1,5,4,0,0,2,0,0.73,0.18,0.91,0.73,0.91,e5478b87,5.5,4,15,8,53.3,2.73,1.46,0.27,0.5,0,0,e5478b87,5.5,,,,,,,,,,,,,,,1,,,,,,e5478b87,5.5,,,,,,,,,,,,,,,,,,,,,e5478b87,5.5,,1,,,,,,,,,,,1,,,,e5478b87,Taiwo Awoniyi__Nottingham
Yasin Ayari,se SWE,MF,Brighton,21,2003,29,20,1929,21.4,3,3,6,3,0,0,1,0,0.14,0.14,0.28,0.14,0.28,f173303a,21.4,3,41,10,24.4,1.91,0.47,0.07,0.3,0,0,f173303a,21.4,,,,,,,,,,,,,,,3,,,,,,f173303a,21.4,,,,,,,,,,,,,,,,,,,,,f173303a,21.4,,25,,,,,,,,,,,26,,,,f173303a,Yasin Ayari__Brighton
Benoît Badiashile,fr FRA,DF,Chelsea,24,2001,8,6,471,5.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,06df8256,5.2,0,0,0,,0.0,0.0,,,0,0,06df8256,5.2,,,,,,,,,,,,,,,0,,,,,,06df8256,5.2,,,,,,,,,,,,,,,,,,,,,06df8256,5.2,,5,,,,,,,,,,,9,,,,06df8256,Benoît Badiashile__Chelsea
Leon Bailey,jm JAM,MF,Aston Villa,27,1997,13,3,459,5.1,0,1,1,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2,3a233281,5.1,0,8,1,12.5,1.57,0.2,0.0,0.0,0,0,3a233281,5.1,,,,,,,,,,,,,,,1,,,,,,3a233281,5.1,,,,,,,,,,,,,,,,,,,,,3a233281,5.1,,6,,,,,,,,,,,4,,,,3a233281,Leon Bailey__Aston Villa
Dilane Bakwa,fr FRA,MF,Nottingham,22,2002,14,6,553,6.1,0,2,2,0,0,0,1,0,0.0,0.33,0.33,0.0,0.33,2b5a35e5,6.1,0,9,3,33.3,1.46,0.49,0.0,0.0,0,0,2b5a35e5,6.1,,,,,,,,,,,,,,,2,,,,,,2b5a35e5,6.1,,,,,,,,,,,,,,,,,,,,,2b5a35e5,6.1,,3,,,,,,,,,,,0,,,,2b5a35e5,Dilane Bakwa__Nottingham
Carlos Baleba,cm CMR,MF,Brighton,21,2004,31,23,1652,18.4,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,a1390d2f,18.4,0,20,2,10.0,1.09,0.11,0.0,0.0,0,0,a1390d2f,18.4,,,,,,,,,,,,,,,0,,,,,,a1390d2f,18.4,,,,,,,,,,,,,,,,,,,,,a1390d2f,18.4,,21,,,,,,,,,,,28,,,,a1390d2f,Carlos Baleba__Brighton
Daniel Ballard,nir NIR,DF,Sunderland,25,1999,29,24,2149,23.9,2,0,2,2,0,0,4,1,0.08,0.0,0.08,0.08,0.08,38f300f3,23.9,2,26,9,34.6,1.09,0.38,0.08,0.22,0,0,38f300f3,23.9,,,,,,,,,,,,,,,0,,,,,,38f300f3,23.9,,,,,,,,,,,,,,,,,,,,,38f300f3,23.9,,17,,,,,,,,,,,20,,,,38f300f3,Daniel Ballard__Sunderland
Ross Barkley,eng ENG,MF,Aston Villa,31,1993,21,7,857,9.5,3,1,4,3,0,0,1,0,0.32,0.11,0.42,0.32,0.42,3a24769f,9.5,3,18,8,44.4,1.89,0.84,0.17,0.38,0,0,3a24769f,9.5,,,,,,,,,,,,,,,1,,,,,,3a24769f,9.5,,,,,,,,,,,,,,,,,,,,,3a24769f,9.5,,11,,,,,,,,,,,2,,,,3a24769f,Ross Barkley__Aston Villa
Ashley Barnes,eng ENG,FWMF,Burnley,35,1989,7,0,46,0.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2691c772,0.5,0,2,1,50.0,3.91,1.96,0.0,0.0,0,0,2691c772,0.5,,,,,,,,,,,,,,,0,,,,,,2691c772,0.5,,,,,,,,,,,,,,,,,,,,,2691c772,0.5,,0,,,,,,,,,,,0,,,,2691c772,Ashley Barnes__Burnley
Harvey Barnes,eng ENG,FWMF,Newcastle,27,1997,37,19,1966,21.8,7,1,8,7,0,0,1,0,0.32,0.05,0.37,0.32,0.37,3ea50f67,21.8,7,58,21,36.2,2.66,0.96,0.12,0.33,0,0,3ea50f67,21.8,,,,,,,,,,,,,,,1,,,,,,3ea50f67,21.8,,,,,,,,,,,,,,,,,,,,,3ea50f67,21.8,,5,,,,,,,,,,,3,,,,3ea50f67,Harvey Barnes__Newcastle
Thierno Barry,fr FRA,FW,Everton,22,2002,38,21,1914,21.3,8,0,8,8,0,0,3,0,0.38,0.0,0.38,0.38,0.38,52c3244b,21.3,8,38,14,36.8,1.79,0.66,0.21,0.57,0,0,52c3244b,21.3,,,,,,,,,,,,,,,0,,,,,,52c3244b,21.3,,,,,,,,,,,,,,,,,,,,,52c3244b,21.3,,4,,,,,,,,,,,5,,,,52c3244b,Thierno Barry__Everton
Calvin Bassey,ng NGA,DF,Fulham,25,1999,30,28,2534,28.2,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04,a36524bf,28.2,1,12,1,8.3,0.43,0.04,0.08,1.0,0,0,a36524bf,28.2,,,,,,,,,,,,,,,0,,,,,,a36524bf,28.2,,,,,,,,,,,,,,,,,,,,,a36524bf,28.2,,32,,,,,,,,,,,22,,,,a36524bf,Calvin Bassey__Fulham
